"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"126,""5YYyIMxoDPdIlJEAfYhKNQ"",0.576,0.717,3,-3.739,0,0.037,0.281,0,0.118,0.325,85.971,183977,4,2016,""Low Enerjic"""
"127,""5CWfw2pmSmF5tjRw8bItvU"",0.277,0.585,10,-6.699,0,0.0413,0.34,0,0.0653,0.242,80.094,232947,4,2016,""Low Enerjic"""
"128,""6yj2sEcpIjR0fCHG9geuAZ"",0.481,0.91,10,-3.624,0,0.051,0.0056,5.22e-06,0.0979,0.594,130.011,183093,4,2016,""High Energic"""
"129,""4uDYcfu5P1MrX7G2IhCj2L"",0.511,0.764,1,-6.807,0,0.0405,0.00322,5.28e-06,0.302,0.43,117.025,181427,4,2016,""Energic"""
"130,""3Y4eME1XQsRVdChAoxhSxd"",0.606,0.575,10,-4.446,0,0.0359,0.186,0,0.133,0.31,115.956,180426,4,2016,""Low Enerjic"""
"131,""73MwyA75Di6zMWkBUFjNWa"",0.519,0.512,7,-6.827,1,0.0478,0.175,4.97e-06,0.11,0.168,131.849,180316,4,2016,""Low Enerjic"""
"132,""1oXBMCKtUPI4c2eRHziEMy"",0.652,0.898,7,-4.554,0,0.0773,0.00473,0.0269,0.152,0.576,126.027,180806,4,2016,""High Energic"""
"133,""6GqgqnOOzjUJrmdOoa7UwF"",0.651,0.705,8,-6.582,1,0.0452,0.0231,0,0.0599,0.393,127.074,179747,4,2016,""Low Enerjic"""
"134,""4xgRKaIOiRJK5SsPRqjzlA"",0.749,0.811,11,-2.626,1,0.099,0.0228,0,0.0693,0.762,117.01,171893,4,2016,""Energic"""
"135,""13HG0RJm6LyYRGDV0mTD9h"",0.431,0.723,6,-5.961,0,0.0377,0.0127,1.19e-06,0.114,0.184,124.915,176307,3,2016,""Low Enerjic"""
"136,""3tX3JXpYEJp8xKXxaNRN0a"",0.624,0.62,9,-6.593,0,0.0444,0.553,0,0.385,0.331,89.979,179713,4,2016,""Low Enerjic"""
"137,""4hDnWMqJU0XJ1MIdWRhn9P"",0.489,0.673,0,-4.924,1,0.0284,0.0884,0,0.0831,0.252,83.049,200267,4,2016,""Low Enerjic"""
"138,""64KtZjShA8TlNUEiYeyv2m"",0.628,0.901,10,-5.965,1,0.0316,0.0386,0,0.257,0.512,124.935,179966,4,2016,""High Energic"""
"139,""6oedZ02tyJyBbGmMAnpNdR"",0.482,0.71,0,-4.584,0,0.0377,0.238,1.65e-06,0.175,0.24,71.915,178750,4,2016,""Low Enerjic"""
"140,""5fFdmgqK3tZor7H1HW1VJg"",0.312,0.716,3,-5.386,1,0.158,0.268,0,0.098,0.43,170.09,180370,4,2016,""Low Enerjic"""
"141,""2pAJAZ0te4NNdq3TdV6qZa"",0.468,0.64,7,-5.593,0,0.0391,0.379,0,0.49,0.43,97.608,180557,4,2016,""Low Enerjic"""
"142,""7ispaqlWe8OZ3h0Z2OY7bP"",0.583,0.925,4,-3.694,0,0.0763,0.00291,0.00237,0.116,0.471,126.98,176195,4,2016,""High Energic"""
"143,""5GXYlJNP7dKSOGkrMW1jsy"",0.573,0.671,1,-4.69,0,0.035,0.163,7.49e-06,0.434,0.447,81.468,179973,4,2016,""Low Enerjic"""
"144,""5MOjc4FmzbCbMd4mmQq8q9"",0.694,0.757,5,-5.395,0,0.0709,0.104,0,0.173,0.477,83.009,175474,4,2016,""Low Enerjic"""
"145,""2MlVjKpwffc77MQJHqIvjA"",0.487,0.762,2,-6.095,0,0.0305,0.000624,2.43e-06,0.149,0.295,93.044,179943,4,2016,""Energic"""
"146,""7gb3w8xWgszx40JIz0R0NN"",0.626,0.824,8,-6.64,1,0.0431,0.0534,0,0.0206,0.304,125.975,178838,4,2016,""Energic"""
"147,""5zyOjtwG43WzgdaLDz5dVK"",0.701,0.702,6,-6.149,0,0.051,0.0606,1.47e-06,0.11,0.56,122.939,238117,4,2016,""Low Enerjic"""
"148,""5GXgQj1HyQPBpKHXJSfDc6"",0.517,0.798,7,-3.065,1,0.0395,0.0767,0,0.231,0.281,145.001,177982,4,2016,""Energic"""
"149,""7eYAvYuZsa9IeQ4VCdls83"",0.601,0.811,8,-5.779,1,0.158,0.304,0,0.523,0.5,106.977,270000,4,2016,""Energic"""
"150,""5C5oPeIOy1jcAGOMIKxqfY"",0.578,0.318,7,-13.474,0,0.0374,0.709,0.00215,0.126,0.229,119.94,244733,4,2016,""Low Enerjic"""
"151,""4ciaNqHWA2IzHphZaVRzHI"",0.484,0.791,7,-4.27,1,0.0437,0.0743,0,0.0491,0.369,124.008,190613,4,2015,""Energic"""
"152,""3kJoJwLu0T1d2HzvkKd6AZ"",0.466,0.601,7,-5.685,1,0.0327,0.114,0,0.251,0.262,152.246,183913,4,2015,""Low Enerjic"""
"153,""0kvmefxq2QnrRPGOKJeb4F"",0.463,0.617,1,-5.853,1,0.0291,0.0576,8.11e-05,0.133,0.179,142.098,226587,4,2015,""Low Enerjic"""
